titol,url
Com si fos un making 29.07.2018,"ed2k://|file|Com%20si%20fos%20ahir%20-%20Com%20si%20fos%20un%20making%2029.07.2018%20(DVBrip%20catal%C3%A0%20per%20r5004%20i%20naroatna)(TotsRucs.cat).avi|368293888|D199A6ABF1BC2787906FFB6965ECF3E4|h=AL2TZNO7LZ6ZM3CTNCVLLH6MAC5RVTE7|/|sources,176.31.113.166:14662|/"
Capítol 4 (14.09.2017),"ed2k://|file|Com%20si%20fos%20ahir%20(1x004)%2014.09.2017%20(DVBrip%20catal%C3%A0-catal%C3%A0%20audiodescripci%C3%B3%20per%20naroatna)(TotsRucs.cat).avi|306319360|9A648C86B41A21E0B4A3F3D103CBE5A5|h=4RDFRJCDT4BUIG2DHDKDHX3WSG2MMBYL|/|sources,176.31.113.166:14662|/"
