Guayaquil, Guayas,C,39
Quito, Pichincha,C,14
Madrid, Comunidad de Madrid,C,10
Guayaquil, Guayas,33C,39
Quito, Pichincha,15C,14
Madrid, Comunidad de Madrid,9C,10
